"hitid"	"hittypeid"	"title"	"description"	"keywords"	"reward"	"creationtime"	"assignments"	"numavailable"	"numpending"	"numcomplete"	"hitstatus"	"reviewstatus"	"annotation"	"assignmentduration"	"autoapprovaldelay"	"hitlifetime"	"viewhit"	"assignmentid"	"workerid"	"assignmentstatus"	"assignmentaccepttime"	"assignmentsubmittime"	"autoapprovaltime"	"assignmentapprovaltime"	"assignmentrejecttime"	"deadline"	"feedback"	"reject"	"answers[question_id answer_value]"
"2ZIOUQIHPCGJHBK8HLN50H0JXS160U"	"2F1TNKIMZSM5ZDZZV6D0SGVF34AZCR"	"What website is this?"	"Please look at this website and tell us, in simple words, what website this is."	"category, website, SDK, sample"	"$0.12"	"Sun Feb 17 18:05:36 CST 2013"	"1"	"1"	"0"	"0"	"Assignable"	"NotReviewed"	"http://www.reuters.com/"	"3600"	"1296000"	"Wed Feb 20 18:05:36 CST 2013"	"https://requestersandbox.mturk.com/mturk/manageHIT?HITId=2ZIOUQIHPCGJHBK8HLN50H0JXS160U"			""	""	""	""	""	""	""	""	""	"none"
"2Y48JIA0RYNJO05QD4R5EMJT2K761X"	"2F1TNKIMZSM5ZDZZV6D0SGVF34AZCR"	"What website is this?"	"Please look at this website and tell us, in simple words, what website this is."	"category, website, SDK, sample"	"$0.12"	"Sun Feb 17 18:05:36 CST 2013"	"1"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"http://www.google.com/"	"3600"	"1296000"	"Wed Feb 20 18:05:36 CST 2013"	"https://requestersandbox.mturk.com/mturk/manageHIT?HITId=2Y48JIA0RYNJO05QD4R5EMJT2K761X"	"2QHGSNTL0XUL6E5041UMPDX5FJ20MQ"	"A249SGE8D4C43E"	"Submitted"	"Sun Feb 17 18:05:48 CST 2013"	"Sun Feb 17 18:05:57 CST 2013"	"Mon Mar 04 18:05:57 CST 2013"	""	""	""	""	""	"option1	hello	option2	hi	option3	how	Submit	Submit	"
"2XE40SPW1INMWEGXX1UNDB6BNPOF2Q"	"2F1TNKIMZSM5ZDZZV6D0SGVF34AZCR"	"What website is this?"	"Please look at this website and tell us, in simple words, what website this is."	"category, website, SDK, sample"	"$0.12"	"Sun Feb 17 18:05:36 CST 2013"	"1"	"0"	"1"	"0"	"Unassignable"	"NotReviewed"	"http://www.amazon.com/"	"3600"	"1296000"	"Wed Feb 20 18:05:36 CST 2013"	"https://requestersandbox.mturk.com/mturk/manageHIT?HITId=2XE40SPW1INMWEGXX1UNDB6BNPOF2Q"			""	""	""	""	""	""	""	""	""	"none"
"2BLK4F0OHOVRG204D6TLC2HEKZJ325"	"2F1TNKIMZSM5ZDZZV6D0SGVF34AZCR"	"What website is this?"	"Please look at this website and tell us, in simple words, what website this is."	"category, website, SDK, sample"	"$0.12"	"Sun Feb 17 18:05:36 CST 2013"	"1"	"1"	"0"	"0"	"Assignable"	"NotReviewed"	"http://www.apple.com/"	"3600"	"1296000"	"Wed Feb 20 18:05:36 CST 2013"	"https://requestersandbox.mturk.com/mturk/manageHIT?HITId=2BLK4F0OHOVRG204D6TLC2HEKZJ325"			""	""	""	""	""	""	""	""	""	"none"
"2H3WSBRI8IUBHWCG118SWLB3T3OF31"	"2F1TNKIMZSM5ZDZZV6D0SGVF34AZCR"	"What website is this?"	"Please look at this website and tell us, in simple words, what website this is."	"category, website, SDK, sample"	"$0.12"	"Sun Feb 17 18:05:36 CST 2013"	"1"	"1"	"0"	"0"	"Assignable"	"NotReviewed"	"http://www.yahoo.com/"	"3600"	"1296000"	"Wed Feb 20 18:05:36 CST 2013"	"https://requestersandbox.mturk.com/mturk/manageHIT?HITId=2H3WSBRI8IUBHWCG118SWLB3T3OF31"			""	""	""	""	""	""	""	""	""	"none"
"hitid"	"hittypeid"	"title"	"description"	"keywords"	"reward"	"creationtime"	"assignments"	"numavailable"	"numpending"	"numcomplete"	"hitstatus"	"reviewstatus"	"annotation"	"assignmentduration"	"autoapprovaldelay"	"hitlifetime"	"viewhit"	"assignmentid"	"workerid"	"assignmentstatus"	"assignmentaccepttime"	"assignmentsubmittime"	"autoapprovaltime"	"assignmentapprovaltime"	"assignmentrejecttime"	"deadline"	"feedback"	"reject"	"answers[question_id answer_value]"
"2ZIOUQIHPCGJHBK8HLN50H0JXS160U"	"2F1TNKIMZSM5ZDZZV6D0SGVF34AZCR"	"What website is this?"	"Please look at this website and tell us, in simple words, what website this is."	"category, website, SDK, sample"	"$0.12"	"Sun Feb 17 18:05:36 CST 2013"	"1"	"1"	"0"	"0"	"Assignable"	"NotReviewed"	"http://www.reuters.com/"	"3600"	"1296000"	"Wed Feb 20 18:05:36 CST 2013"	"https://requestersandbox.mturk.com/mturk/manageHIT?HITId=2ZIOUQIHPCGJHBK8HLN50H0JXS160U"			""	""	""	""	""	""	""	""	""	"none"
"2Y48JIA0RYNJO05QD4R5EMJT2K761X"	"2F1TNKIMZSM5ZDZZV6D0SGVF34AZCR"	"What website is this?"	"Please look at this website and tell us, in simple words, what website this is."	"category, website, SDK, sample"	"$0.12"	"Sun Feb 17 18:05:36 CST 2013"	"1"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"http://www.google.com/"	"3600"	"1296000"	"Wed Feb 20 18:05:36 CST 2013"	"https://requestersandbox.mturk.com/mturk/manageHIT?HITId=2Y48JIA0RYNJO05QD4R5EMJT2K761X"	"2QHGSNTL0XUL6E5041UMPDX5FJ20MQ"	"A249SGE8D4C43E"	"Submitted"	"Sun Feb 17 18:05:48 CST 2013"	"Sun Feb 17 18:05:57 CST 2013"	"Mon Mar 04 18:05:57 CST 2013"	""	""	""	""	""	"option1	hello	option2	hi	option3	how	Submit	Submit	"
"2XE40SPW1INMWEGXX1UNDB6BNPOF2Q"	"2F1TNKIMZSM5ZDZZV6D0SGVF34AZCR"	"What website is this?"	"Please look at this website and tell us, in simple words, what website this is."	"category, website, SDK, sample"	"$0.12"	"Sun Feb 17 18:05:36 CST 2013"	"1"	"1"	"0"	"0"	"Assignable"	"NotReviewed"	"http://www.amazon.com/"	"3600"	"1296000"	"Wed Feb 20 18:05:36 CST 2013"	"https://requestersandbox.mturk.com/mturk/manageHIT?HITId=2XE40SPW1INMWEGXX1UNDB6BNPOF2Q"			""	""	""	""	""	""	""	""	""	"none"
"2BLK4F0OHOVRG204D6TLC2HEKZJ325"	"2F1TNKIMZSM5ZDZZV6D0SGVF34AZCR"	"What website is this?"	"Please look at this website and tell us, in simple words, what website this is."	"category, website, SDK, sample"	"$0.12"	"Sun Feb 17 18:05:36 CST 2013"	"1"	"1"	"0"	"0"	"Assignable"	"NotReviewed"	"http://www.apple.com/"	"3600"	"1296000"	"Wed Feb 20 18:05:36 CST 2013"	"https://requestersandbox.mturk.com/mturk/manageHIT?HITId=2BLK4F0OHOVRG204D6TLC2HEKZJ325"			""	""	""	""	""	""	""	""	""	"none"
